date,6Y,7Y,10Y,20Y
3/14/1990,9.72,10.08,10.39,2.01
3/15/1990,9.74,10.07,10.4,1.97
3/16/1990,9.66,9.97,10.3,1.97
3/19/1990,9.7,9.99,10.33,2.05
3/20/1990,9.68,9.99,10.23,1.99
3/21/1990,9.7,9.99,10.28,1.95
3/22/1990,9.63,9.95,10.26,2.06
3/23/1990,9.64,9.92,10.2,2.06
3/26/1990,9.6,9.95,10.26,1.96
3/27/1990,9.63,9.99,10.19,2.05
3/28/1990,9.61,9.93,10.23,2.01
3/29/1990,9.7,10.04,10.36,2.02
3/30/1990,9.73,10.03,10.4,2.02
4/2/1990,9.72,10.02,10.38,1.97
4/3/1990,9.7,10.03,10.37,2.06
4/4/1990,9.61,10,10.27,2.05
4/5/1990,9.67,9.99,10.33,2.05
4/6/1990,9.63,9.99,10.3,1.98
4/9/1990,9.67,10.01,10.3,2.05
4/10/1990,9.64,9.99,10.31,2.04
4/11/1990,9.69,9.99,10.35,1.99
4/12/1990,9.67,9.98,10.33,2
4/16/1990,9.71,10.04,10.34,1.97
4/17/1990,9.81,10.12,10.53,1.99
4/18/1990,9.94,10.26,10.59,1.99
4/19/1990,9.91,10.22,10.54,1.97
4/20/1990,9.95,10.3,10.68,2
4/23/1990,10.01,10.33,10.73,2.03
4/24/1990,10.04,10.36,10.72,1.97
4/25/1990,10.05,10.43,10.72,2.04
4/26/1990,10.17,10.5,10.74,1.99
4/27/1990,10.15,10.49,10.72,2.01
4/30/1990,10.09,10.42,10.7,1.99
5/1/1990,10.17,10.46,10.76,1.95
5/2/1990,10.15,10.51,10.78,2.03
5/3/1990,10.13,10.42,10.69,1.99
5/4/1990,9.87,10.17,10.49,2.06
5/7/1990,9.93,10.25,10.62,2.06
5/8/1990,9.85,10.17,10.55,2.06
5/9/1990,9.96,10.28,10.61,1.98
5/10/1990,9.9,10.21,10.48,2.02
5/11/1990,9.7,10.01,10.32,1.97
5/14/1990,9.69,9.99,10.33,2.03
5/15/1990,9.73,10.04,10.39,1.95
5/16/1990,9.72,10.11,10.37,2
5/17/1990,9.75,10.13,10.34,1.98
5/18/1990,9.82,10.19,10.47,1.99
5/21/1990,9.84,10.17,10.39,1.98
5/22/1990,9.71,10.06,10.32,2.01
5/23/1990,9.7,10.02,10.28,2.02
5/24/1990,9.63,10.05,10.34,1.98
5/25/1990,9.7,10.11,10.45,2.05
5/29/1990,9.69,10.03,10.38,2.04
5/30/1990,9.61,10.04,10.32,1.98
5/31/1990,9.62,10.02,10.35,2.04
6/1/1990,9.48,9.8,10.2,2.03
6/4/1990,9.49,9.87,10.13,2.02
6/5/1990,9.5,9.89,10.18,1.96
6/6/1990,9.51,9.91,10.13,2.03
6/7/1990,9.5,9.83,10.18,2.05
6/8/1990,9.49,9.89,10.14,2.05
6/11/1990,9.5,9.87,10.2,2.06
6/12/1990,9.49,9.88,10.23,2.01
6/13/1990,9.41,9.8,10.13,2.04
6/14/1990,9.42,9.78,10.1,2.05
6/15/1990,9.49,9.85,10.16,2.05
6/18/1990,9.55,9.87,10.25,2.01
6/19/1990,9.57,9.95,10.26,2.06
6/20/1990,9.57,9.94,10.24,2.06
6/21/1990,9.53,9.93,10.2,1.97
6/22/1990,9.52,9.94,10.23,2.03
6/25/1990,9.6,9.96,10.31,2
6/26/1990,9.6,9.93,10.3,2
6/27/1990,9.56,9.93,10.25,2.01
6/28/1990,9.5,9.86,10.13,2.05
6/29/1990,9.45,9.84,10.1,1.99
7/2/1990,9.41,9.86,10.08,2.04
7/3/1990,9.41,9.77,10.1,2
7/5/1990,9.42,9.8,10.15,2.06
7/6/1990,9.51,9.95,10.17,1.97
7/9/1990,9.54,9.97,10.26,1.99
7/10/1990,9.58,10.01,10.25,2.01
7/11/1990,9.58,9.91,10.26,1.96
7/12/1990,9.46,9.82,10.2,2
7/13/1990,9.37,9.78,10.18,1.99
7/16/1990,9.36,9.81,10.18,2
7/17/1990,9.37,9.81,10.13,2.06
7/18/1990,9.44,9.86,10.26,2.06
7/19/1990,9.4,9.81,10.18,2.02
7/20/1990,9.33,9.82,10.14,2.01
7/23/1990,9.33,9.79,10.19,2.05
7/24/1990,9.4,9.85,10.29,2.04
7/25/1990,9.4,9.82,10.16,1.99
7/26/1990,9.38,9.84,10.16,1.96
7/27/1990,9.34,9.75,10.08,1.99
7/30/1990,9.21,9.66,10.04,1.97
7/31/1990,9.2,9.61,10.08,2.06
8/1/1990,9.11,9.6,10.03,1.99
8/2/1990,9.2,9.64,10.09,1.99
8/3/1990,9.19,9.68,10.19,2.02
8/6/1990,9.38,9.95,10.46,1.98
8/7/1990,9.47,10.01,10.51,1.97
8/8/1990,9.52,10.02,10.45,1.99
8/9/1990,9.41,9.9,10.34,1.98
8/10/1990,9.44,9.91,10.43,2.01
8/13/1990,9.43,9.99,10.44,2.01
8/14/1990,9.42,9.92,10.36,2.06
8/15/1990,9.43,9.94,10.37,2.01
8/16/1990,9.51,10.02,10.42,2.03
8/17/1990,9.57,10.04,10.5,1.96
8/20/1990,9.57,10.04,10.48,1.98
8/21/1990,9.66,10.12,10.55,2.03
8/22/1990,9.7,10.14,10.67,2.02
8/23/1990,9.77,10.23,10.73,1.95
8/24/1990,9.83,10.3,10.75,1.95
8/27/1990,9.67,10.14,10.58,1.99
8/28/1990,9.75,10.25,10.66,2.02
8/29/1990,9.61,10.11,10.57,1.97
8/30/1990,9.57,10.1,10.6,1.95
8/31/1990,9.55,10.1,10.53,2.05
9/4/1990,9.62,10.17,10.66,1.98
9/5/1990,9.55,10.08,10.54,1.95
9/6/1990,9.52,10.1,10.53,1.95
9/7/1990,9.51,10.1,10.48,2.05
9/10/1990,9.58,10.08,10.57,2.04
9/11/1990,9.53,10.06,10.57,1.96
9/12/1990,9.53,10.1,10.54,2.03
9/13/1990,9.49,10.07,10.5,2.05
9/14/1990,9.53,10.09,10.58,2.01
9/17/1990,9.59,10.18,10.64,2.04
9/18/1990,9.57,10.14,10.62,1.97
9/19/1990,9.58,10.14,10.62,1.97
9/20/1990,9.63,10.19,10.59,1.95
9/21/1990,9.64,10.2,10.65,2.03
9/24/1990,9.69,10.3,10.74,2.03
9/25/1990,9.73,10.28,10.69,1.95
9/26/1990,9.73,10.29,10.65,2.02
9/27/1990,9.62,10.19,10.61,1.99
9/28/1990,9.52,10.12,10.47,1.95
10/1/1990,9.46,10.02,10.42,2.04
10/2/1990,9.43,9.93,10.42,2.02
10/3/1990,9.43,9.95,10.41,2.03
10/4/1990,9.35,9.92,10.34,2.06
10/5/1990,9.37,9.94,10.3,1.97
10/9/1990,9.51,10.05,10.59,2
10/10/1990,9.59,10.11,10.64,1.96
10/11/1990,9.61,10.17,10.58,1.96
10/12/1990,9.53,10.04,10.56,1.95
10/15/1990,9.45,10.01,10.56,2.03
10/16/1990,9.48,10,10.51,2.02
10/17/1990,9.46,9.99,10.44,1.99
10/18/1990,9.4,9.92,10.4,1.97
10/19/1990,9.31,9.84,10.34,1.99
10/22/1990,9.31,9.86,10.35,1.97
10/23/1990,9.35,9.87,10.31,1.95
10/24/1990,9.31,9.92,10.31,1.97
10/25/1990,9.28,9.81,10.37,1.97
10/26/1990,9.3,9.86,10.38,2.01
10/29/1990,9.36,9.92,10.42,1.95
10/30/1990,9.35,9.92,10.41,1.97
10/31/1990,9.34,9.9,10.34,1.95
11/1/1990,9.25,9.8,10.23,1.96
11/2/1990,9.21,9.78,10.25,2.03
11/5/1990,9.18,9.72,10.25,2.03
11/6/1990,9.19,9.77,10.23,2.03
11/7/1990,9.22,9.8,10.22,1.99
11/8/1990,9.28,9.79,10.26,1.96
11/9/1990,9.18,9.75,10.16,2.04
11/13/1990,9.08,9.62,10.02,2.04
11/14/1990,9.06,9.63,10.09,2.03
11/15/1990,9.07,9.6,10.02,1.98
11/16/1990,9.06,9.54,10.02,2.06
11/19/1990,9.06,9.59,10.06,2.04
11/20/1990,9.04,9.56,10.06,1.96
11/21/1990,8.97,9.49,10.03,1.97
11/23/1990,9,9.5,10.03,2.02
11/26/1990,8.97,9.52,10.03,2.03
11/27/1990,9.04,9.57,9.94,1.97
11/28/1990,8.99,9.61,9.99,1.95
11/29/1990,9.04,9.57,10.01,2.05
11/30/1990,9,9.58,9.99,2.04
12/3/1990,8.95,9.53,9.87,2.03
12/4/1990,8.91,9.48,9.96,2.06
12/5/1990,8.87,9.46,9.86,2.02
12/6/1990,8.92,9.44,9.87,1.97
12/7/1990,8.74,9.29,9.77,1.99
12/10/1990,8.68,9.31,9.68,2.02
12/11/1990,8.7,9.26,9.59,1.97
12/12/1990,8.65,9.18,9.62,2.01
12/13/1990,8.73,9.3,9.72,2.03
12/14/1990,8.79,9.32,9.81,1.98
12/17/1990,8.77,9.33,9.73,1.99
12/18/1990,8.73,9.33,9.75,1.95
12/19/1990,8.73,9.28,9.74,2
12/20/1990,8.75,9.31,9.81,1.95
12/21/1990,8.82,9.39,9.81,2.02
12/24/1990,8.89,9.49,9.95,1.97
12/26/1990,8.85,9.46,9.82,2.03
12/27/1990,8.8,9.41,9.85,2.03
12/28/1990,8.88,9.42,9.84,1.97
12/31/1990,8.75,9.33,9.82,1.97
1/2/1991,8.66,9.28,9.7,1.99
1/3/1991,8.61,9.26,9.66,2.05
1/4/1991,8.75,9.33,9.74,1.97
1/7/1991,8.85,9.37,9.86,1.98
1/8/1991,8.84,9.46,9.83,2.04
1/9/1991,8.9,9.49,9.94,1.97
1/10/1991,8.83,9.39,9.85,2.06
1/11/1991,8.89,9.42,9.96,1.98
1/14/1991,8.91,9.42,9.95,2.01
1/15/1991,8.88,9.44,9.89,1.98
1/16/1991,8.9,9.42,9.91,2.05
1/17/1991,8.77,9.29,9.77,1.95
1/18/1991,8.77,9.26,9.72,2.01
1/22/1991,8.79,9.33,9.8,1.95
1/23/1991,8.72,9.27,9.79,1.96
1/24/1991,8.68,9.23,9.65,2.02
1/25/1991,8.77,9.29,9.75,2.01
1/28/1991,8.76,9.26,9.77,2.01
1/29/1991,8.71,9.25,9.77,1.95
1/30/1991,8.69,9.27,9.7,2.03
1/31/1991,8.67,9.28,9.78,2.03
2/1/1991,8.51,9.11,9.6,2.05
2/4/1991,8.51,9.07,9.64,1.95
2/5/1991,8.46,9.05,9.59,2.06
2/6/1991,8.46,9.08,9.55,2.04
2/7/1991,8.51,9.09,9.56,2.06
2/8/1991,8.5,9.04,9.48,2.05
2/11/1991,8.47,9.04,9.49,2
2/12/1991,8.47,9.02,9.53,2.04
2/13/1991,8.49,9,9.48,1.95
2/14/1991,8.45,9.03,9.51,2.03
2/15/1991,8.5,9.04,9.47,2.04
2/19/1991,8.52,9.09,9.46,2.01
2/20/1991,8.58,9.13,9.55,2.06
2/21/1991,8.57,9.17,9.62,1.98
2/22/1991,8.66,9.16,9.57,1.98
2/25/1991,8.64,9.18,9.65,2.01
2/26/1991,8.67,9.24,9.66,2.01
2/27/1991,8.73,9.26,9.73,1.98
2/28/1991,8.76,9.22,9.74,2.06
3/1/1991,8.86,9.34,9.79,1.96
3/4/1991,8.83,9.39,9.82,2.02
3/5/1991,8.8,9.33,9.8,2.02
3/6/1991,8.87,9.34,9.8,2.03
3/7/1991,8.78,9.3,9.78,1.97
3/8/1991,8.85,9.38,9.79,1.95
3/11/1991,8.77,9.31,9.74,1.95
3/12/1991,8.81,9.33,9.85,2
3/13/1991,8.74,9.28,9.74,1.97
3/14/1991,8.69,9.26,9.71,1.99
3/15/1991,8.8,9.36,9.77,2.04
3/18/1991,8.85,9.44,9.86,2.01
3/19/1991,9.02,9.52,9.94,2
3/20/1991,8.98,9.47,9.89,1.98
3/21/1991,8.91,9.37,9.84,2
3/22/1991,8.9,9.43,9.85,1.98
3/25/1991,8.9,9.43,9.79,1.97
3/26/1991,8.89,9.39,9.83,2.02
3/27/1991,8.84,9.33,9.77,1.96
3/28/1991,8.83,9.32,9.78,1.96
4/1/1991,8.8,9.36,9.77,1.95
4/2/1991,8.77,9.32,9.71,2
4/3/1991,8.8,9.28,9.8,2.02
4/4/1991,8.76,9.23,9.71,2.01
4/5/1991,8.74,9.28,9.72,1.95
4/8/1991,8.69,9.22,9.63,2
4/9/1991,8.75,9.3,9.71,2.02
4/10/1991,8.8,9.34,9.79,1.99
4/11/1991,8.8,9.33,9.8,2.02
4/12/1991,8.74,9.2,9.74,2.01
4/15/1991,8.7,9.22,9.66,1.96
4/16/1991,8.71,9.25,9.73,1.96
4/17/1991,8.7,9.17,9.6,2.06
4/18/1991,8.8,9.26,9.74,1.97
4/19/1991,8.87,9.37,9.8,2.06
4/22/1991,8.88,9.4,9.87,2.04
4/23/1991,8.84,9.39,9.82,2
4/24/1991,8.78,9.32,9.82,2.05
4/25/1991,8.8,9.3,9.73,1.97
4/26/1991,8.74,9.31,9.74,2.04
4/29/1991,8.76,9.3,9.8,1.97
4/30/1991,8.73,9.24,9.74,2.01
5/1/1991,8.7,9.25,9.71,1.95
5/2/1991,8.65,9.2,9.69,2.03
5/3/1991,8.73,9.26,9.72,1.98
5/6/1991,8.72,9.27,9.71,2.01
5/7/1991,8.72,9.32,9.71,2.05
5/8/1991,8.73,9.26,9.72,1.96
5/9/1991,8.75,9.31,9.73,1.95
5/10/1991,8.81,9.36,9.84,1.95
5/13/1991,8.82,9.36,9.73,2.02
5/14/1991,8.87,9.42,9.88,2.06
5/15/1991,8.87,9.37,9.85,2.02
5/16/1991,8.84,9.38,9.84,1.99
5/17/1991,8.86,9.31,9.77,2
5/20/1991,8.84,9.32,9.85,1.99
5/21/1991,8.79,9.35,9.79,1.95
5/22/1991,8.81,9.35,9.79,1.98
5/23/1991,8.79,9.34,9.81,1.97
5/24/1991,8.77,9.33,9.85,1.95
5/28/1991,8.76,9.27,9.77,2.06
5/29/1991,8.75,9.3,9.76,2.04
5/30/1991,8.73,9.26,9.69,1.95
5/31/1991,8.77,9.25,9.76,1.96
6/3/1991,8.87,9.4,9.86,2.01
6/4/1991,8.88,9.37,9.89,1.98
6/5/1991,8.94,9.43,9.92,2.03
6/6/1991,8.98,9.49,9.88,2.04
6/7/1991,9.01,9.53,9.96,1.99
6/10/1991,9.05,9.55,9.96,1.99
6/11/1991,9.04,9.57,9.96,2
6/12/1991,9.12,9.64,10.09,1.95
6/13/1991,9.07,9.57,10.01,1.96
6/14/1991,9.04,9.5,9.97,2.05
6/17/1991,9.01,9.53,9.97,1.96
6/18/1991,9.07,9.59,10.02,1.98
6/19/1991,9.07,9.59,10.07,2.01
6/20/1991,8.98,9.57,10.06,1.96
6/21/1991,9.05,9.57,10.01,2
6/24/1991,9.03,9.6,10.07,2.05
6/25/1991,9.06,9.56,10.03,2.06
6/26/1991,9.04,9.6,9.98,1.96
6/27/1991,9.02,9.56,10,2.02
6/28/1991,8.96,9.48,9.97,1.96
7/1/1991,9.01,9.51,9.97,1.96
7/2/1991,9.01,9.51,9.99,2.03
7/3/1991,8.99,9.48,10.02,1.99
7/5/1991,9.06,9.62,9.99,2.03
7/8/1991,9.06,9.65,10.09,1.97
7/9/1991,9.07,9.66,10.07,2.04
7/10/1991,9.08,9.57,10.1,2.02
7/11/1991,9.02,9.53,9.96,2.01
7/12/1991,9,9.48,10,1.99
7/15/1991,8.96,9.51,10.01,2.04
7/16/1991,8.96,9.53,10.03,1.95
7/17/1991,9.02,9.55,10.03,1.97
7/18/1991,9.04,9.54,10,2.06
7/19/1991,9.01,9.5,9.97,2.05
7/22/1991,8.99,9.48,9.96,1.96
7/23/1991,9.01,9.54,10.02,2.05
7/24/1991,8.93,9.47,9.93,2.04
7/25/1991,8.91,9.46,9.95,2.02
7/26/1991,8.88,9.46,9.88,2.04
7/29/1991,8.87,9.42,9.9,1.96
7/30/1991,8.88,9.41,9.93,1.97
7/31/1991,8.86,9.42,9.93,1.99
8/1/1991,8.83,9.39,9.89,1.97
8/2/1991,8.72,9.23,9.77,1.95
8/5/1991,8.68,9.26,9.72,2.04
8/6/1991,8.59,9.17,9.7,1.97
8/7/1991,8.57,9.14,9.59,1.98
8/8/1991,8.6,9.23,9.69,2.03
8/9/1991,8.58,9.22,9.64,2.05
8/12/1991,8.57,9.13,9.64,2.04
8/13/1991,8.55,9.12,9.6,2.06
8/14/1991,8.45,9.05,9.51,2.04
8/15/1991,8.44,9.02,9.58,1.97
8/16/1991,8.4,9.04,9.58,2.03
8/19/1991,8.38,9.03,9.54,2
8/20/1991,8.31,8.95,9.52,1.97
8/21/1991,8.36,9.03,9.48,2.05
8/22/1991,8.3,8.99,9.44,2.02
8/23/1991,8.46,9.08,9.57,2.02
8/26/1991,8.49,9.13,9.63,1.98
8/27/1991,8.48,9.1,9.54,2
8/28/1991,8.4,9.01,9.55,2.02
8/29/1991,8.3,8.98,9.41,2.05
8/30/1991,8.44,9.02,9.56,2
9/3/1991,8.41,9.06,9.55,1.96
9/4/1991,8.39,8.99,9.55,2.02
9/5/1991,8.39,9.02,9.53,1.96
9/6/1991,8.32,8.93,9.46,1.98
9/9/1991,8.26,8.93,9.46,1.99
9/10/1991,8.3,8.93,9.43,2
9/11/1991,8.26,8.91,9.49,2.01
9/12/1991,8.21,8.92,9.34,2
9/13/1991,8.19,8.87,9.32,2
9/16/1991,8.19,8.78,9.35,2.04
9/17/1991,8.2,8.79,9.28,1.97
9/18/1991,8.15,8.76,9.33,2
9/19/1991,8.19,8.76,9.26,1.96
9/20/1991,8.16,8.77,9.32,1.95
9/23/1991,8.17,8.71,9.23,2
9/24/1991,8.14,8.77,9.25,2.06
9/25/1991,8.14,8.8,9.28,2.03
9/26/1991,8.11,8.76,9.29,2.04
9/27/1991,8.04,8.66,9.19,2.03
9/30/1991,8,8.62,9.13,1.99
10/1/1991,8,8.66,9.2,2.04
10/2/1991,8,8.67,9.15,1.97
10/3/1991,7.97,8.63,9.12,2.01
10/4/1991,7.9,8.54,9.11,1.96
10/7/1991,7.89,8.56,9.13,2.05
10/8/1991,7.9,8.54,9.08,2.05
10/9/1991,7.97,8.63,9.23,2
10/10/1991,8.02,8.65,9.34,2.01
10/11/1991,7.9,8.52,9.24,2.05
10/15/1991,7.87,8.56,9.21,1.97
10/16/1991,7.86,8.52,9.16,1.96
10/17/1991,7.99,8.64,9.24,2.02
10/18/1991,7.95,8.61,9.2,1.97
10/21/1991,8.05,8.63,9.37,1.97
10/22/1991,8.09,8.7,9.42,2.05
10/23/1991,8.05,8.76,9.38,2.01
10/24/1991,7.98,8.66,9.41,2.06
10/25/1991,8.02,8.72,9.4,2.01
10/28/1991,7.99,8.66,9.3,1.98
10/29/1991,7.89,8.53,9.2,1.97
10/30/1991,7.83,8.52,9.15,2
10/31/1991,7.82,8.54,9.19,2.06
11/1/1991,7.78,8.55,9.22,1.99
11/4/1991,7.81,8.58,9.23,1.96
11/5/1991,7.89,8.58,9.23,1.95
11/6/1991,7.78,8.56,9.17,1.95
11/7/1991,7.75,8.48,9.09,2.02
11/8/1991,7.73,8.47,9.1,1.96
11/12/1991,7.74,8.39,9.04,2.03
11/13/1991,7.76,8.45,9.16,2.01
11/14/1991,7.67,8.36,9.1,2.06
11/15/1991,7.65,8.34,9.04,2
11/18/1991,7.66,8.31,8.98,1.99
11/19/1991,7.65,8.36,9.11,1.95
11/20/1991,7.61,8.35,9.12,2.06
11/21/1991,7.64,8.33,9.14,2.05
11/22/1991,7.62,8.4,9.15,1.99
11/25/1991,7.69,8.39,9.18,2.03
11/26/1991,7.61,8.38,9.12,2.02
11/27/1991,7.6,8.4,9.08,2.06
11/29/1991,7.58,8.37,9.1,1.99
12/2/1991,7.48,8.28,9.07,1.96
12/3/1991,7.44,8.23,9.03,2
12/4/1991,7.33,8.09,8.91,2.06
12/5/1991,7.36,8.15,8.87,1.95
12/6/1991,7.37,8.19,8.93,1.97
12/9/1991,7.3,8.14,8.98,2.01
12/10/1991,7.32,8.14,8.97,2.04
12/11/1991,7.35,8.09,8.95,1.97
12/12/1991,7.28,8.08,8.88,2.06
12/13/1991,7.36,8.17,8.96,2.02
12/16/1991,7.35,8.12,8.88,2.06
12/17/1991,7.31,8.12,8.93,2.05
12/18/1991,7.37,8.12,8.85,2.02
12/19/1991,7.29,8.13,8.76,2
12/20/1991,7.1,7.93,8.69,1.99
12/23/1991,7.1,7.89,8.54,2.03
12/24/1991,7.09,7.89,8.6,1.99
12/26/1991,7.08,7.88,8.5,2.06
12/27/1991,7.1,7.83,8.51,1.99
12/30/1991,7.05,7.8,8.43,2.03
12/31/1991,6.99,7.73,8.43,1.96
1/2/1992,7.06,7.81,8.5,2.06
1/3/1992,7.1,7.87,8.52,1.96
1/6/1992,7.07,7.9,8.51,2.05
1/7/1992,6.99,7.82,8.48,2.01
1/8/1992,7.03,7.8,8.45,1.96
1/9/1992,7.09,7.8,8.48,1.95
1/10/1992,7.15,7.94,8.61,2.01
1/13/1992,7.28,7.96,8.66,2.04
1/14/1992,7.39,8.13,8.7,2.04
1/15/1992,7.47,8.12,8.7,2
1/16/1992,7.5,8.24,8.88,2.05
1/17/1992,7.43,8.15,8.84,1.99
1/21/1992,7.37,8.08,8.68,1.96
1/22/1992,7.33,8.12,8.79,1.97
1/23/1992,7.39,8.21,8.9,2.02
1/24/1992,7.47,8.22,8.93,1.95
1/27/1992,7.5,8.24,8.99,2.06
1/28/1992,7.41,8.13,8.86,1.97
1/29/1992,7.5,8.23,8.94,2.05
1/30/1992,7.56,8.28,8.98,1.99
1/31/1992,7.5,8.28,8.96,2.06
2/3/1992,7.61,8.31,9.04,1.96
2/4/1992,7.52,8.25,9.01,2.06
2/5/1992,7.48,8.2,8.94,2.01
2/6/1992,7.5,8.19,8.88,1.95
2/7/1992,7.45,8.18,8.87,1.99
2/10/1992,7.46,8.15,8.88,2.05
2/11/1992,7.49,8.21,8.92,2.04
2/12/1992,7.56,8.26,8.96,2.04
2/13/1992,7.71,8.33,9.14,1.98
2/14/1992,7.73,8.39,9.1,1.98
2/18/1992,7.76,8.45,9.14,2.06
2/19/1992,7.76,8.43,9.1,2.01
2/20/1992,7.73,8.38,9.17,2.06
2/21/1992,7.86,8.43,9.2,2.04
2/24/1992,7.88,8.52,9.23,2.06
2/25/1992,7.83,8.45,9.12,2.04
2/26/1992,7.71,8.41,9.05,1.98
2/27/1992,7.76,8.42,9.06,1.95
2/28/1992,7.68,8.3,8.97,1.96
3/2/1992,7.83,8.43,9.06,2.06
3/3/1992,7.86,8.49,9.09,2.06
3/4/1992,7.86,8.44,9.11,2.05
3/5/1992,7.93,8.57,9.18,2.02
3/6/1992,7.91,8.56,9.19,2.02
3/9/1992,7.86,8.47,9.17,2.02
3/10/1992,7.86,8.51,9.14,2
3/11/1992,7.95,8.6,9.21,2.04
3/12/1992,8.08,8.72,9.34,1.95
3/13/1992,8.24,8.84,9.36,1.99
3/16/1992,8.19,8.76,9.45,2.06
3/17/1992,8.16,8.74,9.37,2.06
3/18/1992,8.13,8.74,9.32,2.03
3/19/1992,8.13,8.68,9.3,2.01
3/20/1992,8.22,8.74,9.3,2.06
3/23/1992,8.15,8.73,9.31,2.03
3/24/1992,8.07,8.66,9.24,2
3/25/1992,8.03,8.61,9.25,1.98
3/26/1992,8.06,8.63,9.29,1.96
3/27/1992,8.05,8.67,9.25,1.96
3/30/1992,8.02,8.58,9.3,2
3/31/1992,8.04,8.58,9.22,2
4/1/1992,7.87,8.54,9.17,1.99
4/2/1992,7.93,8.57,9.19,1.99
4/3/1992,7.83,8.5,9.17,1.98
4/6/1992,7.79,8.49,9.09,1.98
4/7/1992,7.78,8.52,9.12,1.97
4/8/1992,7.81,8.47,9.11,2
4/9/1992,7.64,8.35,9.06,1.99
4/10/1992,7.68,8.42,9.07,2.03
4/13/1992,7.68,8.38,8.99,1.98
4/14/1992,7.7,8.35,9.1,2
4/15/1992,7.71,8.41,9.08,2.06
4/16/1992,7.84,8.47,9.15,1.95
4/20/1992,7.98,8.63,9.26,1.97
4/21/1992,7.98,8.61,9.34,2.01
4/22/1992,7.98,8.62,9.31,2.02
4/23/1992,7.98,8.65,9.29,1.98
4/24/1992,7.92,8.6,9.29,1.99
4/27/1992,7.96,8.63,9.32,2.02
4/28/1992,7.93,8.62,9.23,1.95
4/29/1992,7.98,8.62,9.29,1.95
4/30/1992,7.97,8.63,9.36,2
5/1/1992,7.89,8.6,9.23,2.01
5/4/1992,7.89,8.58,9.25,2.02
5/5/1992,7.86,8.57,9.21,1.96
5/6/1992,7.83,8.54,9.17,2.01
5/7/1992,7.86,8.56,9.25,1.99
5/8/1992,7.83,8.49,9.15,2.01
5/11/1992,7.79,8.41,9.08,2.04
5/12/1992,7.76,8.37,9.01,2.02
5/13/1992,7.7,8.35,9.1,1.98
5/14/1992,7.68,8.33,9.05,2.01
5/15/1992,7.69,8.33,9.01,1.95
5/18/1992,7.68,8.29,8.96,2.03
5/19/1992,7.53,8.22,8.95,1.98
5/20/1992,7.62,8.33,8.99,2.03
5/21/1992,7.84,8.43,9.12,1.99
5/22/1992,7.75,8.45,9.07,2.04
5/26/1992,7.85,8.54,9.12,1.97
5/27/1992,7.79,8.47,9.14,2.06
5/28/1992,7.74,8.43,9.08,2.03
5/29/1992,7.69,8.4,9.01,2.01
6/1/1992,7.77,8.43,9.14,2.06
6/2/1992,7.7,8.42,9.04,2.02
6/3/1992,7.7,8.37,8.99,2.01
6/4/1992,7.65,8.38,9.07,2.05
6/5/1992,7.63,8.36,9.03,2.04
6/8/1992,7.63,8.33,9.03,2.02
6/9/1992,7.65,8.38,9.03,2.03
6/10/1992,7.68,8.36,9.09,2.03
6/11/1992,7.66,8.37,9.04,2
